concept,prefLabel,definition,broader
http://www.w3id.org/archlink/terms/conservationthesaurus/B51DAF,Material,Material aus dem das Objekt besteht.,http://www.w3id.org/archlink/terms/conservationthesaurus/GD172G
http://www.w3id.org/archlink/terms/conservationthesaurus/B5DD1A,Metall,"chemisches Element, das durch eine gute elektrische und thermische Leitfähigkeit, einen typischen Glanz sowie gute Formbarkeit mit spanlosen oder spangebenden Methoden gekennzeichnet ist. Die typischen metallischen Eigenschaften ergeben sich aus der charakteristischen Gitterstruktur des Atomaufbaus. Metalle werden bereits seit Jahrhunderten von Menschen systematisch gewonnen, bearbeitet und für Werkzeuge, Schmuck, Waffen und andere Zwecke verwendet. Sie spielen eine zentrale Rolle in der technologischen und kulturellen Entwicklung der Menschheit.",http://www.w3id.org/archlink/terms/conservationthesaurus/B51DAF
http://www.w3id.org/archlink/terms/conservationthesaurus/F7D3DB,reines Metall,"Metall, welches nahezu ausschließlich aus einer Atomart besteht und nur sehr geringe Mengen an anderen Elementen enthält. Jedes Reinmetall besitzt charakteristische physikalische und chemische Eigenschaften, wie eine spezifische Dichte, Härte, Schmelztemperatur und chemische Aktivität, das es von anderen Metallen unterscheidet.",http://www.w3id.org/archlink/terms/conservationthesaurus/B5DD1A
http://www.w3id.org/archlink/terms/conservationthesaurus/FGA46A,Edelmetall,"korrosionsbeständiges Metall, das aufgrund seiner chemischen und physikalischen Eigenschaften und ästhetischen Qualitäten hochgeschätzt wird.",http://www.w3id.org/archlink/terms/conservationthesaurus/F7D3DB
http://www.w3id.org/archlink/terms/conservationthesaurus/FD5149,Gold,"gelbes Metall mit dem chemischen Symbol Au und der Ordnungszahl 79. Gehört zu den ersten Metallen, die in der frühen Menschheitsgeschichte verarbeitet wurden. Aufgrund seiner Seltenheit, der guten Bearbeitbarkeit sowie der schönen Farbe und dem auffälligen Glanz wird Gold seit Jahrtausenden für Schmuck und Prestigeobjekte verwendet. Durch die hohe Korrosionsbeständigkeit sind an Goldobjekten kaum materialbezogene, konservatorische Maßnahmen notwendig.",http://www.w3id.org/archlink/terms/conservationthesaurus/FGA46A
http://www.w3id.org/archlink/terms/conservationthesaurus/F135A8,Silber,"weißlich-graues Metall mit dem chemischen Symbol Ag und der Ordnungszahl 47. Gehört, ebenso wie Gold und Kupfer, zu den ersten Metallen die von den Menschen verarbeitet wurde. Silber wurde als edler metallischer Werkstoff aufgrund seiner guten Verarbeitbarkeit, hohen Korrosionsbeständigkeit im Vergleich zu anderen Metallen und seiner reinen warm-glänzenden Erscheinung seit der Antike für Münzen, Schmuck und zeremonielle Gegenstände genutzt. Im Vergleich zu Gold war Silber überdies häufiger verfügbar. Als Edelmetall ist es relativ beständig gegen Korrosion, wird jedoch von Luftsauerstoff, Schwefel und chloridhaltigen Lösungen (z.B. in stark chloridhaltigen Böden) unter Bildung von Silberoxid, Silbersulfid und/oder Silberchlorid angegriffen.",http://www.w3id.org/archlink/terms/conservationthesaurus/FGA46A
http://www.w3id.org/archlink/terms/conservationthesaurus/BBF566,Unedelmetall,"Sammelbegriff für Metalle, mit negativem Normalpotenzial. Sie neigen, aufgrund ihres hohen Lösungsdrucks, unter Normalbedingungen zur chemischen Reaktion mit ihrer Umgebung. Objekte aus unedlen Metallen zeigen im archäologischen Kontext daher in der Regel mehr oder weniger starke Korrosionserscheinungen.",http://www.w3id.org/archlink/terms/conservationthesaurus/F7D3DB
http://www.w3id.org/archlink/terms/conservationthesaurus/F71C6B,Eisen,"bläulich-gräuliches Metall mit dem chemischen Symbol Fe und der Ordnungszahl 26. Im archäologischen Kontext kommen in der Regel ausschließlich Eisen-Kohlenstoff-Legierungen vor, sodass reines Eisen kaum eine Rolle in der Restaurierung spielt. Eisen ist sehr unedel und neigt sowohl an der Luft, als auch bei der Bodenlagerung zu starken Korrosionsreaktionen.",http://www.w3id.org/archlink/terms/conservationthesaurus/BBF566
http://www.w3id.org/archlink/terms/conservationthesaurus/GB5BGF,Buntmetall,"Sammelbegriff für farbige Metalle, außer Eisen und Edelmetalle. Sie zeichnen sich durch ihre Farbvielfalt aus und wurden bereits seit der frühsten Menschheitsgeschichte für ihre spezifischen Eigenschaften wie Härte, Korrosionsbeständigkeit und elektrische Leitfähigkeit geschätzt.",http://www.w3id.org/archlink/terms/conservationthesaurus/BBF566
http://www.w3id.org/archlink/terms/conservationthesaurus/B28FA6,Kupfer,"rot-bräunliches Metall mit dem chemischen Symbol Cu und der Ordnungszahl 29. Kupfer war wohl das erstes Metall, dass von den Menschen gezielt hergestellt und verarbeitet wurde. Kupfer ist in feuchter, verunreinigter Luft, sowie in chloridbelasteten Böden recht korrossionsanfällig. Mit den Bestandteilen der Luft (u.a. Schwefel- oder Carbonatverbindungen) bildet es eine Patina, die als Schutzschicht für das darunterliegende Metall gegenüber weiterem Korrosionsangriff dient. Diese Patina kann dem Objekt unter umständen ein recht ästhetisches Erscheinungsbild verleihen (sog. ""Edelpatina"").",http://www.w3id.org/archlink/terms/conservationthesaurus/GB5BGF
http://www.w3id.org/archlink/terms/conservationthesaurus/G992B6,Blei,"sehr weiches Metall, von bläulich-gräulicher Farbe mit dem chemischen Symbol Pb und der Ordnungszahl 82. Gehört zur Gruppe der Schwermetalle und wirkt giftig auf den menschlichen Körper. Wurde in der Antike sowohl für eigenständige Objektherstellung, als auch in Pigmenten und Glasuren sowie Legierungen mit anderen Metallen verwendet. Blei läuft an der Luft unter Bildung einer passivierenden Oxidschicht an und ist auch bei Kontak mit Wasser oder Säuren stark korrosionsanfällig.",http://www.w3id.org/archlink/terms/conservationthesaurus/GB5BGF
http://www.w3id.org/archlink/terms/conservationthesaurus/G8AG1C,Zink,bläulich-weißes Metall mit dem chemischen Symbol Zn und der Ordnungszahl 30. Zink wurde in der Antike hauptsächlich als Erz bei der Kupferverhüttung bzw. -legierung verarbeitet. Erst im späten Mittelalter wird Zink gezielt als reines Metall hergestellt.,http://www.w3id.org/archlink/terms/conservationthesaurus/GB5BGF
